"country","iso3a","iso3n","data","method","populex","resprate","ref","year","sex","agemin","agemax","N1","cdtl","cda","cdase","fdtl","fda","fdase","laa","laase","N2","heda","hedase","heda30","hedase30","hedtl","hedtlm","hedalc","hedact","N3","ddla","ddlase"
"Armenia","ARM","51","STEPS","face-to-face","unknown","unknwon","WHO STEPS - CAMH","2016","female","50","54","80","365","83.3333333333333","3.80362887156365","365","8.55614973262032","2.04548188040739","48.6631016042781","3.65505488570795",NA,NA,NA,NA,NA,NA,NA,NA,NA,"39","1.05982905982906","0.195875829702232"
"Armenia","ARM","51","STEPS","face-to-face","unknown","unknwon","WHO STEPS - CAMH","2016","female","50","54","39","30","40.625","5.01259806117712","30","8.55614973262032","2.04548188040739","48.6631016042781","3.65505488570795","0","0","0","0","0","30","1","60","total","39","1.05982905982906","0.195875829702232"
"Armenia","ARM","51","STEPS","face-to-face","unknown","unknwon","WHO STEPS - CAMH","2016","female","55","59","67","365","69.7916666666667","4.6862942121987","365","15.0259067357513","2.57208288444886","50.259067357513","3.59903044234035",NA,NA,NA,NA,NA,NA,NA,NA,NA,"34","0.882352941176471","0.240024736685348"
"Armenia","ARM","51","STEPS","face-to-face","unknown","unknwon","WHO STEPS - CAMH","2016","female","55","59","34","30","35.4166666666667","4.88122080538526","30","15.0259067357513","2.57208288444886","50.259067357513","3.59903044234035","0","0","0","0","0","30","1","60","total","34","0.882352941176471","0.240024736685348"
"Armenia","ARM","51","STEPS","face-to-face","unknown","unknwon","WHO STEPS - CAMH","2016","female","60","64","54","365","59.3406593406593","5.14915130431652","365","21.3872832369942","3.11746195070671","47.3988439306358","3.79628201677421",NA,NA,NA,NA,NA,NA,NA,NA,NA,"22","0.848484848484848","0.163721852501928"
"Armenia","ARM","51","STEPS","face-to-face","unknown","unknwon","WHO STEPS - CAMH","2016","female","60","64","22","30","24.1758241758242","4.48821649274373","30","21.3872832369942","3.11746195070671","47.3988439306358","3.79628201677421","0","0","0","0","0","30","1","60","total","22","0.848484848484848","0.163721852501928"
"Armenia","ARM","51","STEPS","face-to-face","unknown","unknwon","WHO STEPS - CAMH","2016","female","65","69","36","365","58.0645161290323","6.26686573357484","365","19.4029850746269","3.41618478568912","53.7313432835821","4.30729776190386",NA,NA,NA,NA,NA,NA,NA,NA,NA,"15","0.911111111111111","0.317841041543716"
"Armenia","ARM","51","STEPS","face-to-face","unknown","unknwon","WHO STEPS - CAMH","2016","female","65","69","16","30","25.8064516129032","5.55714044654264","30","19.4029850746269","3.41618478568912","53.7313432835821","4.30729776190386","0","0","0","0","0","30","1","60","total","15","0.911111111111111","0.317841041543716"
"Armenia","ARM","51","STEPS","face-to-face","unknown","unknwon","WHO STEPS - CAMH","2016","female","15","69","699","365","76.6447368421053","1.40099353789308","365","13.2052076875387","0.842950880189455","43.4593924364538","1.23425494836243",NA,NA,NA,NA,NA,NA,NA,NA,NA,"317","1.21661409043113","0.141833203705523"
"Armenia","ARM","51","STEPS","face-to-face","unknown","unknwon","WHO STEPS - CAMH","2016","female","15","69","319","30","34.9780701754386","1.57917562061039","30","13.2052076875387","0.842950880189455","43.4593924364538","1.23425494836243","3","0.328947368421053","0.189605229517049","0.940438871473354","0.540403488744187","30","1","60","total","317","1.21661409043113","0.141833203705523"
